 ประเภทรถ , ทั่วประเทศ , ส่วนภูมิภาค ,รวมภาคกลาง,รวมภาคตะวันออก,รวมภาคตะวันออกเฉียงเหนือ,รวมภาคเหนือ,รวมภาคตะวันตก,รวมภาคใต้
 Type of Vehicle , Whole Kingdom , Regional ,Central,Eastern,North Eastern,Northern,Western,Southern
 รวมทั้งสิ้น ,"37,615,177","28,122,162","2,202,188","11,759,022","8,098,865","6,709,160","2,793,243","4,658,549"
 ก. รวมรถตามกฎหมายว่าด้วยรถยนต์ ,"36,394,553","27,084,039","2,042,276","11,325,890","7,803,330","6,524,960","2,652,477","4,538,436"
     รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน Sedan (Not more than 7 Pass.) ,"8,365,584","4,288,522","394,348","1,714,088","1,089,740","1,012,189","346,121","821,776"
     รย. 2 รถยนต์นั่งส่วนบุคคลเกิน 7 คน Microbus & Passenger Van ,"421,601","210,925","28,484","86,433","57,901","48,660","19,346","28,002"
     รย. 3 รถยนต์บรรทุกส่วนบุคคล Van & Pick Up ,"6,331,333","5,034,975","387,514","2,160,983","1,549,521","1,241,595","491,422","753,461"
     รย. 4 รถยนต์สามล้อส่วนบุคคล Motortricycle ,"1,627",780,355,91,47,164,34,136
     รย. 5 รถยนต์รับจ้างระหว่างจังหวัด Interprovincial Taxi ,1,1,0,0,0,0,0,1
     รย. 6 รถยนต์รับจ้างบรรทุกคนโดยสารไม่เกิน 7 คน Urban Taxi ,"92,829","3,979",1,"1,926","1,294",927,0,"1,125"
     รย. 7 รถยนต์สี่ล้อเล็กรับจ้าง Fixed Route Taxi ,"2,896",518,0,0,0,1,0,517
     รย. 8 รถยนต์รับจ้างสามล้อ Motortricycle Taxi (Tuk Tuk) ,"20,395","11,043","3,879","4,484","1,817","1,667",809,204
     รย. 9 รถยนต์บริการธุรกิจ Hotel Taxi ,"4,243","3,561",44,77,68,261,192,"2,987"
     รย.10 รถยนต์บริการทัศนาจร Tour Taxi ,"4,754","3,212",10,0,0,0,0,"3,202"
     รย.11 รถยนต์บริการให้เช่า Car For Hire ,60,8,0,0,0,0,0,8
     รย.12 รถจักรยานยนต์ส่วนบุคคล Motorcycle ,"20,320,463","16,898,387","1,142,401","7,034,456","4,822,325","4,062,600","1,760,120","2,898,810"
     รย.13 รถแทรกเตอร์ Tractor ,"507,723","415,474","40,107","221,674","198,322","119,622","18,671","15,400"
     รย.14 รถบดถนน Road Roller ,"13,619","9,857",760,"3,944","2,928","2,413","1,180","1,560"
     รย.15 รถใช้งานเกษตรกรรม Farm Vehicle ,"104,453","104,447",988,"73,194","72,911","29,794",427,44
     รย.16 รถพ่วง Automobile Trailer ,"4,082","1,751",126,"1,295",866,124,105,101
     รย.17 รถจักรยานยนต์สาธารณะ Public Motorcycle ,"198,890","96,599","43,259","23,245","5,590","4,943","14,050","11,102"
 ข. รวมรถตามกฎหมายว่าด้วยการขนส่งทางบก ,"1,220,624","1,038,123","159,912","433,132","295,535","184,200","140,766","120,113"
     รวมรถโดยสาร Bus : Total ,"157,792","113,704","16,441","40,353","26,091","18,252","9,102","29,556"
     แยกเป็น - ประจำทาง Fixed Route Bus ,"82,084","58,365","6,994","24,352","17,566","9,977","5,108","11,934"
                   - ไม่ประจำทาง Non Fixed Route Bus ,"63,459","46,126","8,122","12,208","5,724","6,660","3,112","16,024"
                   - ส่วนบุคคล Private Bus ,"12,249","9,213","1,325","3,793","2,801","1,615",882,"1,598"
     รวมรถบรรทุก Truck : Total ,"1,062,106","923,693","143,450","392,581","269,252","165,630","131,633","90,399"
     แยกเป็น - ไม่ประจำทาง Non Fixed Route Truck ,"278,994","204,681","50,276","72,881","32,612","26,810","32,282","22,432"
                   - ส่วนบุคคล Private Truck ,"783,112","719,012","93,174","319,700","236,640","138,820","99,351","67,967"
     โดยรถขนาดเล็ก Small Rural Bus ,726,726,21,198,192,318,31,158
,,,,,,,,
